"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226","test_get_current_price_of_coin","tests","Sat May 03 14:32:31 GMT 2025","passed","Sat May 03 14:32:32 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","229","test_market_order[Buy]","tests","Sat May 03 14:32:29 GMT 2025","passed","Sat May 03 14:32:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","244","test_detect_trend","tests","Sat May 03 14:32:32 GMT 2025","passed","Sat May 03 14:32:32 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","6389","test_open_and_cancel_tp_sl_order[Sell]","tests","Sat May 03 14:32:42 GMT 2025","passed","Sat May 03 14:32:49 GMT 2025","","integration_test","",""
"Тест функции для определения тренда на разных таймфреймах","60","test_determine_trend","tests","Sat May 03 14:32:32 GMT 2025","passed","Sat May 03 14:32:32 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","456","test_limit_order[Sell]","tests","Sat May 03 14:32:32 GMT 2025","passed","Sat May 03 14:32:33 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","278","test_check_volumes","tests","Sat May 03 14:32:32 GMT 2025","passed","Sat May 03 14:32:32 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Sat May 03 14:32:38 GMT 2025","passed","Sat May 03 14:32:38 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","779","test_find_imbalance","tests","Sat May 03 14:32:32 GMT 2025","passed","Sat May 03 14:32:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","225","test_find_imbalance","tests","Sat May 03 14:32:33 GMT 2025","passed","Sat May 03 14:32:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","1151","test_limits","tests","Sat May 03 14:32:30 GMT 2025","passed","Sat May 03 14:32:31 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","456","test_limit_order[Buy]","tests","Sat May 03 14:32:30 GMT 2025","passed","Sat May 03 14:32:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","1","test_find_tp_sl_order_mock","tests","Sat May 03 14:32:30 GMT 2025","passed","Sat May 03 14:32:30 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","229","test_market_order[Sell]","tests","Sat May 03 14:32:31 GMT 2025","passed","Sat May 03 14:32:32 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","7888","test_open_and_cancel_tp_sl_order[Buy]","tests","Sat May 03 14:32:33 GMT 2025","passed","Sat May 03 14:32:41 GMT 2025","","integration_test","",""
"","1","test_tp_sl_order_mock","tests","Sat May 03 14:32:29 GMT 2025","passed","Sat May 03 14:32:29 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","7022","test_find_tp_sl_order","tests","Sat May 03 14:32:31 GMT 2025","passed","Sat May 03 14:32:38 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","1","test_avg_volume","tests","Sat May 03 14:32:33 GMT 2025","passed","Sat May 03 14:32:33 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
