"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","3","tests","Techanalysis_test","TestTechAnalysis","","","test_find_imbalance","Тест функции для определения имбаланса на разных таймфреймах"
"passed","Thu Dec 18 06:44:29 UTC 2025","Thu Dec 18 06:44:29 UTC 2025","162","tests","Techanalysis_test","TestTechAnalysis","","","test_detect_trend","Тест функции для определения тренда на разных таймфреймах"
"passed","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","0","tests","Techanalysis_test","TestTechAnalysis","","","test_avg_volume","Тест функции расчета среднего объема avg_volume"
"broken","Thu Dec 18 06:43:49 UTC 2025","Thu Dec 18 06:43:49 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_get_current_price_of_coin",""
"broken","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","94","tests","Techanalysis_test","TestTechAnalysis","","","test_find_imbalance","Тест функции для определения имбаланса на разных таймфреймах"
"broken","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","0","tests","integration_test","","","","test_open_and_cancel_tp_sl_order[Sell]",""
"broken","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","0","tests","integration_test","","","","test_open_and_cancel_tp_sl_order[Buy]",""
"passed","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","67","tests","Techanalysis_test","TestTechAnalysis","","","test_determine_trend","Тест функции для определения тренда на разных таймфреймах"
"broken","Thu Dec 18 06:43:49 UTC 2025","Thu Dec 18 06:43:49 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_market_order[Sell]",""
"broken","Thu Dec 18 06:43:49 UTC 2025","Thu Dec 18 06:43:49 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_find_tp_sl_order_mock",""
"broken","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","71","tests","Techanalysis_test","TestTechAnalysis","","","test_find_imbalance","Тест функции для определения имбаланса на разных таймфреймах"
"broken","Thu Dec 18 06:43:28 UTC 2025","Thu Dec 18 06:43:28 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_limit_order[Buy]",""
"broken","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_find_tp_sl_order",""
"broken","Thu Dec 18 06:43:49 UTC 2025","Thu Dec 18 06:43:49 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_limit_order[Sell]",""
"broken","Thu Dec 18 06:43:28 UTC 2025","Thu Dec 18 06:43:28 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_limits",""
"broken","Thu Dec 18 06:43:28 UTC 2025","Thu Dec 18 06:43:28 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_tp_sl_order_mock",""
"passed","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","58","tests","Techanalysis_test","TestTechAnalysis","","","test_check_volumes","Тест функции проверки объемов check_volumes"
"passed","Thu Dec 18 06:44:09 UTC 2025","Thu Dec 18 06:44:09 UTC 2025","0","tests","Techanalysis_test","TestTechAnalysis","","","test_avg_volume","Тест функции расчета среднего объема avg_volume"
"broken","Thu Dec 18 06:43:28 UTC 2025","Thu Dec 18 06:43:28 UTC 2025","0","tests","SpotOrders_test","TestSpotOrders","","","test_market_order[Buy]",""
